iter	Passed	Remaining
786	10132	2742
787	10146	2729
788	10159	2716
789	10173	2704
790	10187	2691
791	10200	2678
792	10213	2666
793	10226	2653
794	10238	2640
795	10250	2626
796	10262	2613
797	10274	2600
798	10286	2587
799	10297	2574
800	10309	2561
801	10322	2548
802	10334	2535
803	10345	2522
804	10357	2508
805	10369	2495
806	10381	2482
807	10392	2469
808	10405	2456
809	10417	2443
810	10429	2430
811	10441	2417
812	10452	2404
813	10464	2391
814	10477	2378
815	10488	2364
816	10499	2351
817	10510	2338
818	10524	2325
819	10536	2312
820	10547	2299
821	10558	2286
822	10569	2273
823	10580	2259
824	10591	2246
825	10602	2233
826	10615	2220
827	10626	2207
828	10638	2194
829	10649	2181
830	10662	2168
831	10673	2155
832	10685	2142
833	10697	2129
834	10707	2115
835	10719	2102
836	10732	2090
837	10743	2076
838	10755	2063
839	10767	2050
840	10778	2037
841	10789	2024
842	10800	2011
843	10811	1998
844	10822	1985
845	10833	1972
846	10845	1959
847	10857	1946
848	10870	1933
849	10881	1920
850	10894	1907
851	10906	1894
852	10918	1881
853	10930	1868
854	10941	1855
855	10952	1842
856	10964	1829
857	10976	1816
858	10988	1803
859	11000	1790
860	11011	1777
861	11023	1764
862	11034	1751
863	11044	1738
864	11058	1725
865	11069	1712
866	11081	1699
867	11093	1686
868	11105	1674
869	11117	1661
870	11129	1648
871	11139	1635
872	11150	1622
873	11161	1609
874	11173	1596
875	11184	1583
876	11196	1570
877	11207	1557
878	11220	1544
879	11232	1531
880	11244	1518
881	11257	1506
882	11270	1493
883	11283	1480
884	11296	1467
885	11310	1455
886	11324	1442
887	11336	1429
888	11348	1416
889	11358	1403
890	11368	1390
891	11380	1377
892	11392	1365
893	11404	1352
894	11417	1339
895	11428	1326
896	11440	1313
897	11455	1301
898	11467	1288
899	11479	1275
900	11492	1262
901	11503	1249
902	11515	1237
903	11527	1224
904	11538	1211
905	11549	1198
906	11560	1185
907	11571	1172
908	11582	1159
909	11594	1146
910	11605	1133
911	11615	1120
912	11627	1107
913	11638	1095
914	11650	1082
915	11661	1069
916	11671	1056
917	11682	1043
918	11694	1030
919	11706	1017
920	11718	1005
921	11729	992
922	11743	979
923	11755	966
924	11767	954
925	11779	941
926	11791	928
927	11803	915
928	11814	902
929	11826	890
930	11837	877
931	11849	864
932	11862	851
933	11874	839
934	11885	826
935	11896	813
936	11908	800
937	11921	787
938	11934	775
939	11946	762
940	11957	749
941	11970	737
942	11982	724
943	11994	711
944	12006	698
945	12017	685
946	12031	673
947	12043	660
948	12054	647
949	12066	635
950	12077	622
951	12089	609
952	12100	596
953	12112	584
954	12123	571
955	12135	558
956	12147	545
957	12159	533
958	12170	520
959	12181	507
960	12194	494
961	12205	482
962	12216	469
963	12228	456
964	12241	443
965	12252	431
966	12265	418
967	12276	405
968	12287	393
969	12299	380
970	12311	367
971	12322	354
972	12335	342
973	12348	329
974	12361	316
975	12375	304
976	12389	291
977	12402	278
978	12416	266
979	12428	253
980	12443	241
981	12458	228
982	12470	215
983	12484	202
984	12497	190
985	12510	177
986	12521	164
987	12533	152
988	12544	139
989	12556	126
990	12567	114
991	12578	101
992	12590	88
993	12601	76
994	12613	63
995	12624	50
996	12637	38
997	12649	25
998	12661	12
999	12673	0
